Código;Nome;  Preço (BRL)  
1;Compacto Mesa; R$ 23.331,00 
2;Rústico Lâmpada; R$ 185.011,00 
3;Light Cadeira; R$ 69.313,00 
4;Compacto Filtro; R$ 36.673,00 
5;Mini Livro; R$ 97.242,00 
6;Portátil Processador; R$ 41.744,00 
7;Light Tela; R$ 17.727,00 
8;Avançado Microfone; R$ 99.997,00 
9;Light Impressora; R$ 58.015,00 
10;Mini Controle; R$ 62.988,00 
11;Smart Fita; R$ 64.965,00 
12;Portátil Mesa; R$ 33.335,00 
13;Light Caixa; R$ 120.257,00 
14;Mini Mouse; R$ 223,00 
15;Eco Tela; R$ 181.702,00 
16;Premium Monitor; R$ 1.279,00 
17;Rústico Sensor; R$ 94.911,00 
18;Portátil Lâmpada; R$ 150.433,00 
19;Smart Relógio; R$ 5.771,00 
20;Avançado Joystick; R$ 95.901,00 
21;Flex Bateria; R$ 181.873,00 
22;Ultra Mouse; R$ 112.952,00 
23;Compacto Calculadora; R$ 33.187,00 
24;Eco Mouse; R$ 15.669,00 
25;Pro Agenda; R$ 71.403,00 
26;Flex Sofá; R$ 117.705,00 
27;Avançado Caneca; R$ 90.453,00 
28;Eco Sensor; R$ 195.312,00 
29;Strong Impressora; R$ 82.233,00 
31;Avançado Mochila; R$ 10.676,00 
32;Compacto Monitor; R$ 148.425,00 
33;Moderno Sensor; R$ 63.758,00 
34;Rústico Mochila; R$ 23.413,00 
35;Light Mochila; R$ 111.551,00 
36;Avançado Cabo; R$ 88.097,00 
37;Active Ferramenta; R$ 59.958,00 
38;Turbo Cobertor; R$ 195.407,00 
39;Rústico Relógio; R$ 46.753,00 
40;Moderno Ferramenta Elétrica; R$ 87.449,00 
41;Light Processador; R$ 41.394,00 
42;Mini Gabinete; R$ 88.523,00 
43;Elegante Carregador; R$ 105.979,00 
44;Turbo Caneta; R$ 7.034,00 
45;Econômico Fogão; R$ 90.354,00 
46;Portátil Caneta; R$ 60.238,00 
47;Premium Cadeira; R$ 149.627,00 
48;Strong Memória; R$ 136.762,00 
49;Moderno Processador; R$ 69.598,00 
50;Ultra Mesa; R$ 131.088,00 
51;Strong Carregador; R$ 7.276,00 
52;Active Mesa; R$ 23.735,00 
53;Elegante PenDrive; R$ 2.309,00 
54;Flex Liquidificador; R$ 126.533,00 
55;Pro Placa; R$ 107.276,00 
56;Moderno Cooler; R$ 191.857,00 
58;Max Ferramenta Elétrica; R$ 158.632,00 
59;Active Colher; R$ 120.384,00 
60;Light Gabinete; R$ 78.365,00 
61;Smart Gabinete; R$ 183.803,00 
62;Rústico Caneca; R$ 4.901,00 
63;Pro Monitor; R$ 113.115,00 
64;Flex Estojo; R$ 36.627,00 
65;Turbo Cadeira; R$ 96.038,00 
66;Strong Mouse; R$ 95.755,00 
68;Portátil Placa; R$ 47.782,00 
69;Ultra Calculadora; R$ 128.221,00 
70;Elegante Mochila; R$ 16.332,00 
71;Strong Joystick; R$ 44.841,00 
72;Eco Caneta; R$ 55.196,00 
73;Mini Fone; R$ 91.292,00 
75;Pro Sofá; R$ 180.541,00 
78;Flex Placa-Mãe; R$ 124.358,00 
79;Turbo Faca; R$ 18.559,00 
81;Active Bateria; R$ 166.604,00 
82;Max Camera; R$ 9.408,00 
83;Portátil Carregador; R$ 74.976,00 
84;Moderno Almofada; R$ 118.729,00 
85;Econômico Gabinete; R$ 133.928,00 
86;Portátil SSD; R$ 169.744,00 
87;Light Suporte; R$ 44.578,00 
88;Smart Mochila; R$ 146.228,00 
89;Avançado Cooler; R$ 162.887,00 
90;Premium Almofada; R$ 8.578,00 
91;Strong Fita; R$ 155.904,00 
92;Mini Régua; R$ 183.669,00 
93;Premium Placa; R$ 65.075,00 
94;Active Calculadora; R$ 2.953,00 
95;Turbo SSD; R$ 57.687,00 
96;Premium Tela; R$ 148.017,00 
97;Flex Faca; R$ 87.911,00 
98;Max Bateria; R$ 76.267,00 
99;Classic Controle; R$ 11.033,00 
100;Turbo Controle; R$ 57.234,00 
101;Flex Régua; R$ 64.842,00 
102;Avançado Teclado Mecânico; R$ 113.671,00 
103;Light Roteador; R$ 114.544,00 
104;Pro PenDrive; R$ 55.811,00 
105;Pro Batedeira; R$ 185.148,00 
106;Turbo Impressora; R$ 58.444,00 
107;Light Régua; R$ 25.574,00 
108;Rústico Processador; R$ 131.712,00 
109;Premium Colher; R$ 17.401,00 
110;Eco Caixa; R$ 21.078,00 
111;Premium Relógio; R$ 27.379,00 
112;Compacto HD; R$ 122.208,00 
113;Compacto Caixa; R$ 49.769,00 
114;Pro Liquidificador; R$ 176.727,00 
115;Ultra HD; R$ 11.537,00 
116;Mini Roteador; R$ 195.811,00 
117;Smart Joystick; R$ 8.158,00 
118;Mini Agenda; R$ 4.773,00 
119;Econômico Mesa; R$ 74.686,00 
120;Turbo Caderno; R$ 15.839,00 
121;Flex Controle; R$ 175.417,00 
122;Avançado Faca; R$ 74.001,00 
123;Eco Livro; R$ 189.004,00 
124;Elegante Calculadora; R$ 63.097,00 
125;Avançado Filtro; R$ 181.415,00 
126;Active Ferramenta Elétrica; R$ 11.727,00 
127;Turbo Monitor; R$ 108.569,00 
128;Rústico Suporte; R$ 114.279,00 
129;Eco Mochila; R$ 199.507,00 
130;Moderno Colher; R$ 31.708,00 
132;Flex Camiseta; R$ 140.933,00 
133;Smart Mouse; R$ 119.084,00 
134;Eco Capa; R$ 183.286,00 
136;Max Processador; R$ 112.247,00 
137;Smart Colher; R$ 152.899,00 
138;Ultra Teclado; R$ 6.538,00 
139;Premium Capa; R$ 94.402,00 
140;Moderno HD; R$ 130.502,00 
141;Classic Calculadora; R$ 11.063,00 
142;Smart SSD; R$ 155.764,00 
143;Rústico Filtro; R$ 15.746,00 
145;Flex Capa; R$ 93.281,00 
146;Mini Batedeira; R$ 187.919,00 
147;Classic SSD; R$ 49.886,00 
148;Compacto Ferramenta Elétrica; R$ 117.803,00 
149;Compacto Faca; R$ 94.038,00 
150;Ultra Cooler; R$ 44.289,00 
151;Eco Liquidificador; R$ 128.424,00 
152;Premium Fita; R$ 103.336,00 
153;Premium Suporte; R$ 49.828,00 
154;Smart Controle; R$ 8.775,00 
155;Max Camiseta; R$ 77.271,00 
156;Econômico Faca; R$ 5.931,00 
157;Avançado Cadeira; R$ 100.153,00 
158;Turbo Sofá; R$ 114.091,00 
159;Active Teclado Mecânico; R$ 99.968,00 
160;Compacto Régua; R$ 162.177,00 
161;Portátil Mouse; R$ 186.021,00 
162;Avançado Mouse; R$ 195.227,00 
163;Compacto Caneca; R$ 158.296,00 
164;Pro Camiseta; R$ 150.938,00 
165;Premium Teclado; R$ 13.738,00 
166;Light Mouse; R$ 58.821,00 
167;Pro Caneca; R$ 199.192,00 
168;Moderno Bateria; R$ 13.252,00 
169;Active Liquidificador; R$ 89.016,00 
170;Mini Cartucho; R$ 28.529,00 
171;Ultra Caderno; R$ 80.246,00 
173;Portátil Parafuso; R$ 178.995,00 
174;Flex Caneta; R$ 146.001,00 
175;Strong Régua; R$ 194.169,00 
176;Mini Fonte; R$ 148.212,00 
177;Portátil Roteador; R$ 13.741,00 
178;Light Adaptador; R$ 3.935,00 
179;Mini Mesa; R$ 88.567,00 
180;Turbo Estojo; R$ 46.649,00 
181;Compacto Parafuso; R$ 36.802,00 
182;Classic Monitor; R$ 189.939,00 
183;Smart Ferramenta; R$ 8.125,00 
184;Rústico Controle; R$ 29.969,00 
185;Active Cabo; R$ 10.360,00 
186;Ultra Lâmpada; R$ 69.453,00 
187;Max Estojo; R$ 77.469,00 
188;Light Calculadora; R$ 3.632,00 
189;Elegante Tela; R$ 124.419,00 
190;Rústico Caderno; R$ 134.306,00 
191;Smart Filtro; R$ 147.698,00 
192;Max Almofada; R$ 85.358,00 
193;Pro Teclado; R$ 24.653,00 
194;Mini Cabo; R$ 92.033,00 
195;Turbo Batedeira; R$ 64.237,00 
196;Pro Cobertor; R$ 117.018,00 
199;Light HD; R$ 189.147,00 
200;Smart Caneca; R$ 88.739,00 
201;Strong Cadeira; R$ 55.953,00 
203;Active Estojo; R$ 110.946,00 
204;Classic Fogão; R$ 143.477,00 
205;Turbo Cartucho; R$ 118.266,00 
206;Pro Roteador; R$ 169.341,00 
207;Premium Mouse; R$ 110.836,00 
208;Econômico Batedeira; R$ 134.283,00 
210;Strong Caneca; R$ 134.415,00 
211;Econômico Cabo; R$ 61.179,00 
212;Smart Cartucho; R$ 99.221,00 
213;Rústico Sofá; R$ 142.511,00 
214;Premium PenDrive; R$ 15.308,00 
216;Premium Bateria; R$ 161.379,00 
217;Portátil Microfone; R$ 73.231,00 
218;Mini Cobertor; R$ 148.459,00 
219;Pro Joystick; R$ 68.077,00 
221;Mini Fogão; R$ 28.816,00 
222;Econômico Agenda; R$ 104.553,00 
223;Mini Cooler; R$ 174.149,00 
224;Portátil Estojo; R$ 189.138,00 
225;Elegante Caderno; R$ 7.131,00 
226;Mini Lâmpada; R$ 90.961,00 
228;Mini Almofada; R$ 5.295,00 
229;Premium Cabo; R$ 16.873,00 
230;Econômico Caixa; R$ 38.381,00 
231;Econômico Ferramenta Elétrica; R$ 9.566,00 
232;Econômico Sensor; R$ 121.398,00 
233;Eco Ferramenta Elétrica; R$ 89.962,00 
234;Max Carregador; R$ 13.433,00 
235;Strong Relógio; R$ 26.134,00 
236;Light Teclado Mecânico; R$ 21.798,00 
238;Smart Caderno; R$ 48.845,00 
240;Classic Sensor; R$ 6.105,00 
241;Max Cadeira; R$ 18.628,00 
242;Ultra Carregador; R$ 96.959,00 
244;Eco Faca; R$ 187.405,00 
245;Classic Capa; R$ 45.266,00 
246;Econômico Capa; R$ 114.047,00 
247;Max Caixa; R$ 162.936,00 
248;Ultra Liquidificador; R$ 154.295,00 
249;Max Tela; R$ 22.772,00 
251;Elegante Cabo; R$ 145.146,00 
252;Max Colher; R$ 34.544,00 
253;Elegante Caneca; R$ 17.352,00 
254;Classic Placa; R$ 9.489,00 
255;Premium Adaptador; R$ 96.148,00 
256;Compacto SSD; R$ 1.003,00 
257;Pro Filtro; R$ 177.329,00 
258;Elegante Sensor; R$ 137.853,00 
260;Active Hub; R$ 16.586,00 
262;Ultra Colher; R$ 106.373,00 
263;Flex Caderno; R$ 7.151,00 
264;Premium Caneta; R$ 112.073,00 
265;Moderno Régua; R$ 136.851,00 
267;Compacto Mouse; R$ 195.566,00 
268;Moderno Filtro; R$ 85.297,00 
270;Max Fone; R$ 10.342,00 
272;Turbo Calculadora; R$ 88.887,00 
273;Mini Parafuso; R$ 40.191,00 
277;Strong Ferramenta Elétrica; R$ 186.893,00 
278;Avançado Panela; R$ 95.223,00 
280;Elegante Parafuso; R$ 186.839,00 
281;Max Controle; R$ 113.042,00 
282;Elegante Fogão; R$ 90.056,00 
283;Moderno Impressora; R$ 49.081,00 
284;Premium Faca; R$ 182.845,00 
286;Turbo Mochila; R$ 58.477,00 
288;Avançado Adaptador; R$ 64.031,00 
290;Rústico Caneta; R$ 127.941,00 
291;Pro Cartucho; R$ 177.722,00 
292;Light Placa; R$ 96.537,00 
293;Mini Camiseta; R$ 131.958,00 
294;Max Mochila; R$ 71.081,00 
295;Strong Sensor; R$ 2.882,00 
296;Moderno Teclado; R$ 830,00 
297;Compacto Fogão; R$ 65.977,00 
298;Rústico Agenda; R$ 165.103,00 
299;Classic Fita; R$ 149.877,00 
300;Rústico Placa-Mãe; R$ 130.371,00 
301;Active Gabinete; R$ 147.608,00 
302;Classic Mochila; R$ 10.985,00 
304;Flex Adaptador; R$ 108.345,00 
305;Light Fone; R$ 64.371,00 
306;Active Batedeira; R$ 65.404,00 
307;Mini Relógio; R$ 89.787,00 
308;Rústico Cabo; R$ 4.264,00 
309;Rústico Cobertor; R$ 97.143,00 
310;Portátil Gabinete; R$ 58.746,00 
311;Classic Bateria; R$ 72.278,00 
312;Eco Filtro; R$ 94.789,00 
313;Strong Parafuso; R$ 30.221,00 
315;Smart Ferramenta Elétrica; R$ 31.007,00 
316;Active Cooler; R$ 188.268,00 
317;Portátil Ferramenta; R$ 3.775,00 
318;Strong Monitor; R$ 57.608,00 
320;Portátil Capa; R$ 157.947,00 
322;Flex HD; R$ 187.295,00 
325;Turbo Lâmpada; R$ 8.151,00 
326;Smart Teclado; R$ 3.249,00 
327;Strong Livro; R$ 134.387,00 
329;Strong Suporte; R$ 136.265,00 
330;Strong Teclado; R$ 23.359,00 
331;Portátil Teclado; R$ 68.983,00 
333;Smart Teclado Mecânico; R$ 7.679,00 
334;Flex Monitor; R$ 87.626,00 
335;Rústico Cadeira; R$ 46.576,00 
336;Turbo Bateria; R$ 57.264,00 
337;Active Processador; R$ 141.073,00 
338;Active Carregador; R$ 88.369,00 
339;Pro Ferramenta Elétrica; R$ 131.053,00 
340;Moderno Caneta; R$ 9.485,00 
341;Rústico Mesa; R$ 8.765,00 
342;Compacto Placa; R$ 165.937,00 
344;Compacto Impressora; R$ 60.523,00 
345;Avançado Livro; R$ 189.817,00 
346;Smart Sensor; R$ 110.969,00 
347;Elegante Mouse; R$ 27.987,00 
348;Econômico Caneta; R$ 125.425,00 
350;Econômico Fone; R$ 17.489,00 
351;Eco Placa-Mãe; R$ 11.435,00 
352;Ultra Microfone; R$ 136.513,00 
356;Turbo Mesa; R$ 61.896,00 
357;Flex Caixa; R$ 48.778,00 
358;Max Impressora; R$ 8.770,00 
361;Mini Teclado; R$ 179.178,00 
362;Avançado Monitor; R$ 164.966,00 
363;Pro Cadeira; R$ 189.113,00 
364;Premium Carregador; R$ 184.102,00 
365;Light Caneca; R$ 4.544,00 
366;Econômico Joystick; R$ 131.255,00 
367;Ultra Gabinete; R$ 42.627,00 
368;Active Faca; R$ 43.898,00 
369;Premium Caneca; R$ 5.893,00 
370;Eco Mesa; R$ 28.451,00 
371;Pro Placa-Mãe; R$ 33.366,00 
372;Classic Fonte; R$ 72.882,00 
374;Eco Memória; R$ 183.302,00 
375;Avançado Tela; R$ 19.907,00 
377;Rústico Gabinete; R$ 146.044,00 
379;Turbo Tela; R$ 13.392,00 
381;Pro Almofada; R$ 59.709,00 
382;Ultra Sofá; R$ 128.742,00 
383;Classic Estojo; R$ 37.203,00 
384;Rústico Impressora; R$ 54.793,00 
385;Elegante SSD; R$ 127.392,00 
386;Ultra Batedeira; R$ 156.793,00 
387;Active Relógio; R$ 126.318,00 
391;Portátil Joystick; R$ 121.689,00 
392;Compacto Almofada; R$ 154.197,00 
393;Ultra Hub; R$ 146.061,00 
394;Rústico Cartucho; R$ 5.234,00 
395;Eco Suporte; R$ 42.738,00 
396;Elegante Filtro; R$ 181.482,00 
397;Turbo Camera; R$ 142.155,00 
399;Rústico Placa; R$ 140.444,00 
401;Mini Suporte; R$ 144.992,00 
402;Smart Camera; R$ 173.621,00 
403;Moderno Fonte; R$ 108.974,00 
404;Ultra Cadeira; R$ 14.746,00 
405;Compacto Microfone; R$ 99.415,00 
407;Elegante Estojo; R$ 63.577,00 
408;Strong Placa; R$ 60.667,00 
409;Elegante Mesa; R$ 137.641,00 
411;Ultra Adaptador; R$ 147.878,00 
412;Mini Sofá; R$ 1.066,00 
413;Smart Bateria; R$ 11.612,00 
414;Max Cartucho; R$ 189.071,00 
416;Strong Mochila; R$ 99.814,00 
417;Classic Caderno; R$ 3.275,00 
418;Elegante Livro; R$ 118.202,00 
419;Turbo Memória; R$ 193.736,00 
422;Portátil Cooler; R$ 191.869,00 
426;Turbo Fone; R$ 46.349,00 
427;Light Estojo; R$ 125.527,00 
428;Eco Roteador; R$ 59.164,00 
429;Max Gabinete; R$ 120.746,00 
430;Elegante Colher; R$ 136.032,00 
431;Eco Bateria; R$ 110.128,00 
434;Max Caneta; R$ 5.085,00 
439;Smart PenDrive; R$ 46.711,00 
440;Econômico Suporte; R$ 3.138,00 
441;Econômico Parafuso; R$ 70.161,00 
443;Ultra Caneca; R$ 25.882,00 
444;Flex Gabinete; R$ 80.785,00 
445;Premium Caixa; R$ 100.365,00 
446;Flex Processador; R$ 79.235,00 
447;Ultra Placa-Mãe; R$ 154.169,00 
449;Mini Ferramenta; R$ 151.304,00 
451;Flex Relógio; R$ 71.253,00 
452;Max Régua; R$ 99.885,00 
453;Turbo Régua; R$ 149.248,00 
454;Pro Caderno; R$ 117.079,00 
455;Active PenDrive; R$ 62.161,00 
456;Ultra Tela; R$ 56.379,00 
457;Moderno Cartucho; R$ 7.906,00 
458;Premium Cooler; R$ 12.455,00 
459;Strong Calculadora; R$ 113.031,00 
